userid,itemid,ts,label
23,2642,993706986,0
23,2149,993706986,0
23,2119,993707016,0
23,2643,993707035,0
24,592,978135247,1
24,329,978135339,0
24,2628,978135358,0
24,858,978136660,1
24,1193,978136709,1
24,1635,986156995,1
24,425,986157070,1
24,2757,986157090,1
24,1959,986157437,1
24,2657,986157459,1
25,2324,978134637,1
25,588,978385998,0
25,2804,978386028,0
25,1639,978386028,1
25,3751,978386028,0
25,2541,978386028,1
25,3175,978386056,0
25,3174,978386112,1
25,3745,978386228,1
25,3798,978386265,0
26,2622,978275603,0
26,605,978275630,1
26,361,978275709,1
26,3259,978275758,0
26,1457,978276041,1
26,185,978276085,0
26,3247,978276085,0
26,2262,978384764,1
26,1784,978384872,1
26,2683,978385333,0
27,908,978129930,1
27,1207,978129930,1
27,1225,978129956,0
27,318,978129982,1
27,971,978129982,1
27,926,978130018,1
27,1254,978130092,1
27,1262,978130092,1
27,1198,978130092,1
27,1204,978130092,1
28,480,978982261,0
28,144,978982281,0
28,648,978982323,0
28,266,978982323,0
28,2033,978982338,0
28,916,978985238,1
28,527,978985280,1
28,912,978985294,1
28,1,978985309,0
28,2132,978985335,1
29,3256,978136274,0
29,3366,978136307,0
29,733,978136307,1
29,349,978136307,0
29,1101,978136307,0
29,3836,978136307,1
29,3633,978136342,1
29,494,978136342,0
29,2617,978136342,0
29,2550,978136554,0
30,1657,978122054,0
30,3260,978122054,0
30,150,978122074,0
30,2571,978122092,1
30,2686,978122093,1
30,589,978122110,1
30,1265,978122110,1
30,1216,978122166,1
30,3949,978122183,1
30,3554,978122183,1
31,934,978121765,0
31,368,978121765,0
31,2780,978121786,0
31,3341,978121786,1
31,3525,978121815,0
31,3247,978121815,1
31,3524,978121851,1
31,3450,978121885,0
31,1958,978121885,0
31,1485,978121885,0
32,457,978123831,0
32,1683,978123849,0
32,589,978123849,1
32,474,978123849,1
32,3147,978123863,1
32,1343,978123879,0
32,2707,978123912,0
32,2916,978123912,0
32,1834,978123925,0
32,3286,978126476,0
33,1729,978985622,1
33,3016,978985654,0
33,2303,978985654,0
33,3397,978985682,0
33,1339,978985700,1
33,1095,978985700,0
33,3398,978985733,0
33,2124,978985788,0
33,230,978985788,0
33,2746,978985788,0
34,1597,978104592,0
34,236,978104619,0
34,1100,978104619,1
34,1479,978104619,1
34,550,978104619,1
34,3269,978104619,0
34,2888,978104630,1
34,1888,978104643,0
34,2485,978104678,1
34,3257,978104692,1
35,7,978104122,0
35,2724,978104122,0
35,788,978104122,0
35,2385,978104150,1
35,1801,978104150,0
35,3703,978104742,1
35,2947,978104757,0
35,910,978104931,1
35,3088,978104931,1
35,1162,978210919,0
36,3786,1040544521,1
36,2369,1040544564,1
36,2713,1040544662,0
36,3174,1040544685,1
36,296,1040545019,1
36,247,1040545068,1
36,1266,1040545109,1
36,595,1040545109,1
36,1295,1040545109,1
36,3639,1040545125,1
37,236,978057260,1
37,1457,978057260,1
37,252,978057295,1
37,339,978057295,0
37,1101,978057295,1
37,587,978057316,1
37,597,978057316,1
37,1380,978057331,1
37,788,978057358,0
37,1088,978057358,1
38,2355,978046270,1
38,1688,978046303,0
38,2059,978046369,1
38,586,978046369,1
38,2082,978046407,1
38,13,978046407,0
38,455,978046465,0
38,1380,978046582,1
38,3948,978046603,1
38,296,978047091,0
39,2395,978044326,1
39,2396,978044326,1
39,2700,978044354,1
39,3157,978044354,0
39,3176,978044354,0
39,3114,978044380,1
39,2763,978044380,1
39,3745,978044380,0
39,3793,978044402,1
39,86,978044402,1
40,3066,978041312,0
40,1676,978041312,0
40,3441,978041342,0
40,780,978041342,1
40,1391,978041342,0
40,2815,978041370,0
40,2402,978041370,0
40,466,978041370,1
40,2816,978041398,0
40,2817,978041398,0
41,1644,978039673,0
41,224,978039835,0
41,2699,978039990,0
41,2710,978040031,1
41,2694,978040031,0
41,2546,978040861,0
41,3578,978040972,0
41,2719,978041069,1
41,2762,978041394,1
41,1643,978041582,1
42,3448,978041921,0
42,1297,978041921,1
42,2406,978041921,1
42,2134,978041939,1
42,3552,978041939,1
42,2144,978041960,0
42,3087,978041960,1
42,2003,978041960,0
42,2111,978041982,1
42,2371,978041996,1
43,2712,978026495,0
43,2581,978026543,1
43,2394,978026561,1
43,2762,978026580,1
43,2396,978026580,1
43,2961,978026591,1
43,3114,978026605,1
43,2763,978026605,0
43,3793,978026614,1
43,2858,978026708,1
44,2311,1004411827,0
44,912,1004411900,0
44,902,1004411930,0
44,2020,1004411930,0
44,3108,1004411945,0
44,249,1004412009,1
44,920,1004412024,0
44,151,1004412054,1
44,539,1004412155,1
44,2297,1004412196,1
45,3248,977991882,0
45,489,977991904,0
45,2717,977991925,0
45,2375,977991963,0
45,830,977991983,0
45,3258,977991983,0
45,2849,977992062,0
45,2356,977992062,0
45,2473,977992097,1
45,355,977992196,0
46,1261,977979427,1
46,2628,977979482,0
46,3361,977979482,0
46,1279,977979482,0
46,847,977979482,0
46,1102,977979482,0
46,529,977979482,0
46,3677,977979482,0
46,2523,977979482,0
46,3280,977979487,1
47,2804,977978604,1
47,1956,977978641,1
47,1247,977978641,1
47,608,977978658,0
47,1041,977978682,1
47,1213,977978708,1
47,249,977978739,1
47,1949,977978774,1
47,17,977978774,1
47,34,977978774,1
48,748,978148619,0
48,2531,978148619,0
48,196,978148619,0
48,185,978148668,0
48,379,978148693,0
48,880,978148815,0
48,2827,978148815,0
48,3926,978148815,0
48,1310,978149424,1
48,3051,978409441,0
49,1252,978813792,1
49,3741,978813792,1
49,1952,978813842,1
49,3362,978813939,1
49,3735,978813939,1
49,1204,978813939,1
49,1193,978813972,1
49,296,978813972,1
49,2858,978813972,1
49,2311,978814070,0
50,266,977961187,1
50,480,977961187,0
50,144,977961214,0
50,3578,977961214,0
50,3755,977961235,0
50,2135,977961258,0
50,804,977961282,0
50,3861,977961307,1
50,2241,977961307,0
50,1544,977961307,0
51,799,977947889,0
51,2599,977947889,1
51,1923,977947931,1
51,1517,977947958,0
51,2395,977947958,0
51,11,977947958,0
51,348,977947984,0
51,39,977947984,1
51,1485,977948011,0
51,1895,977948011,1
52,3113,977947882,0
52,1918,977947882,0
52,3617,977947937,1
52,2858,977947937,1
52,144,977947967,0
52,3861,977948003,0
52,3785,977948003,1
52,3646,977948217,0
52,3821,977948217,0
52,2706,977948475,1
53,1522,977988752,1
53,1417,977988802,0
53,193,977988802,1
53,2950,977988802,0
53,184,977988856,1
53,510,977988856,0
53,1726,977988915,0
53,1609,977988944,0
53,3437,977988994,0
53,581,977990888,1
54,235,977944787,1
54,3671,977944787,1
54,3037,977944816,1
54,1641,977944816,1
54,3421,977944816,1
54,2791,977944816,1
54,34,977944859,1
54,1079,977944859,1
54,3422,977944889,0
54,3507,977944889,1
55,2762,977943181,1
55,589,977948346,1
55,1266,977948346,0
55,2761,977948346,1
55,296,977948346,0
55,1213,977948346,0
55,1784,977948394,1
55,457,977948394,1
55,150,977948415,1
55,356,977948435,1
56,1923,977939751,1
56,588,977939869,1
56,1641,977939869,1
56,2395,977939869,0
56,2542,977939869,1
56,2321,977939897,1
56,2706,977939897,1
56,440,977939897,1
56,2302,977939927,1
56,514,977939927,0
57,1198,977936062,1
57,3694,977936062,1
57,1228,977936062,1
57,1196,977936099,1
57,1274,977936099,1
57,1225,977936099,1
57,1258,977936132,1
57,2804,977936132,1
57,1090,977936132,1
57,1242,977936132,1
58,160,977942400,0
58,1882,977942400,0
58,2643,977942431,0
58,1862,977942431,0
58,519,977942431,0
58,3663,977942431,0
58,3664,977942431,0
58,2807,977942466,0
58,3593,977942466,0
58,66,977942466,0
59,2159,1041968245,0
59,2532,1041968245,0
59,2660,1041968245,0
59,1241,1041968245,0
59,3871,1041968282,1
59,953,1041968282,1
59,965,1041968282,0
59,110,1041968282,0
59,3307,1041968324,0
59,1244,1041968335,0
60,350,977932313,1
60,3476,977932314,0
60,1892,977932314,0
60,648,977932352,0
60,1754,977932352,0
60,164,977932352,0
60,1092,977932352,1
60,113,977932390,0
60,1589,977932390,0
60,2583,977932390,1
61,3273,977903228,0
61,3785,977903257,1
61,3826,977903288,0
61,3646,977903324,1
61,3752,977903324,0
61,3238,977903378,0
61,3564,977903399,0
61,3743,977903428,0
61,3190,977903456,0
61,3908,977903456,0
62,3365,977970226,1
62,1103,977970226,1
62,2183,977970270,1
62,3088,977970270,1
62,1226,977970297,0
62,932,977970328,0
62,934,977970328,0
62,3516,977970366,0
62,3414,977970432,0
62,2939,977970461,1
63,1950,979518533,1
63,3359,980111094,0
63,166,980111189,0
63,1407,980111244,1
63,1717,980111244,0
63,1225,980111298,1
63,3007,980111343,1
63,1094,980111375,1
63,750,980111402,1
63,541,980111457,1
64,3578,977892547,1
64,2710,977892590,1
64,1407,977892637,1
64,1717,977892637,1
64,3273,977892637,1
64,1754,977892673,1
64,3555,977892698,1
64,3755,977892736,0
64,2858,977892800,1
64,3005,977892852,0
65,1298,1010857626,1
65,3066,1010857647,1
65,2815,1010857675,1
65,3147,1018930306,1
65,260,1022468309,1
65,2628,1022468310,1
65,1210,1022468310,1
65,3821,1027908976,0
65,2194,1033335197,1
65,953,1041090068,1
66,661,977886288,0
66,2399,977886324,0
66,1196,977886379,1
66,110,977886406,1
66,1090,977886437,1
66,1272,977886579,1
66,2694,977886657,1
66,1259,977886709,1
66,1919,977886754,0
66,1961,977886886,1
67,2067,977886703,1
67,3471,977886703,1
67,3424,977886746,1
67,1954,977886746,1
67,2398,977886855,1
67,1287,977886895,1
67,909,977887019,1
67,994,977887019,1
67,1962,977887088,1
67,902,977887126,1
68,2300,991375985,1
68,1,991376026,0
68,2657,991376026,1
68,1923,991376053,0
68,1966,991376070,1
68,1270,991376109,1
68,3608,991376122,0
68,1517,991376175,1
68,1747,991376187,1
68,2797,991376219,0
69,1699,977882255,0
69,562,977882255,0
69,3148,977882282,1
69,1834,977882282,1
69,321,977882326,1
69,617,977882326,1
69,590,977882365,0
69,446,977882365,1
69,1120,977882398,1
69,476,977882427,1
70,43,977878219,1
70,3081,977878254,1
70,2396,977878254,1
70,2700,977878254,1
70,2762,977878254,1
70,3157,977878287,1
70,3176,977878287,1
70,2987,977878322,1
70,3114,977878322,1
70,3793,977878348,1
71,3298,977875912,0
71,2710,977875912,0
71,2694,977875912,1
71,3005,977875940,1
71,223,977875971,1
71,1093,977876004,1
71,2605,977876031,1
71,3408,977876031,1
71,2712,977876079,0
71,2959,977876079,0
72,1580,977869287,0
72,82,977869377,1
72,593,977869427,1
72,608,977869453,0
72,1187,977869485,1
72,17,977869485,1
72,2028,977869485,1
72,150,977869511,1
72,3105,977869538,1
72,3418,977869538,1
73,2717,981605302,1
73,2794,981605311,0
73,2378,981605324,0
73,2478,981605324,0
73,1091,981605324,0
73,2088,981605344,0
73,47,981605490,0
73,3052,981605594,1
73,3889,984282049,1
73,3596,984369175,0
74,858,993338943,1
74,2858,993338969,0
74,615,993338969,1
74,3741,993338985,0
74,593,993339006,1
74,50,993339024,1
74,1066,993339024,1
74,3044,993339349,0
74,123,993339349,0
74,2583,993339349,0
75,2036,978749521,1
75,2152,978749559,1
75,216,978750042,1
75,2555,978750231,1
75,2683,978750231,1
75,2694,978750251,1
75,1911,978750303,1
75,3408,978750335,1
75,2392,978750501,1
75,2761,978750501,1
76,3593,989092237,0
76,3897,989092288,1
76,3783,989092318,1
76,3328,989092352,1
76,3916,989092385,0
76,3317,989092409,1
76,3408,989092409,1
76,3510,989092470,1
76,3794,989092538,0
76,3513,989092538,0
77,3174,977814137,1
77,2805,977814137,0
77,2723,977814165,0
77,3753,977814190,0
77,2395,977814248,1
77,3081,977814274,1
77,2700,977814274,1
77,2762,977814274,1
77,2702,977814298,0
77,2907,977814298,0
78,1441,978571371,0
78,3247,978571371,1
78,2539,978571371,0
78,2622,978571371,0
78,144,978571371,0
78,339,978571371,0
78,417,978571371,1
78,500,978571371,0
78,368,978571371,0
78,708,978571371,0
79,3476,977805731,1
79,3044,977805821,1
79,3176,977805821,1
79,2686,977805821,1
79,2873,977805821,0
79,2024,977805821,1
79,1597,977805976,0
79,1909,977805976,0
79,350,977805976,0
79,2126,977806080,0
80,3252,977788757,1
80,48,977788757,1
80,1566,977788940,0
80,2628,977789085,0
80,3173,977789179,0
80,1917,977789264,1
80,1416,977789439,0
80,1588,977789439,0
80,3249,977789531,0
80,590,993780330,1
81,3334,977786439,1
81,3543,977786487,1
81,1394,977786529,1
81,1233,977786529,1
81,3093,977786581,0
81,1258,977786653,1
81,330,977786653,0
81,2971,977786653,1
81,3421,977786694,1
81,260,977786694,1
82,10,977775855,1
82,3686,977775855,1
82,1573,977775889,0
82,2826,977775889,0
82,356,977776092,1
82,50,978816882,0
82,628,978816906,1
82,47,978816999,1
82,3662,978816999,0
82,474,978816999,1
83,2,977721051,0
83,317,977721051,0
83,3489,977721051,0
83,60,977721051,1
83,673,977721121,0
83,558,977721121,0
83,1702,977721180,0
83,1654,977721180,0
83,3877,977721218,0
83,2162,977721218,0
84,1210,977717352,1
84,1196,977717559,1
84,1198,977717559,1
84,592,977717649,0
84,941,977717649,0
84,750,977717723,1
84,527,977717723,1
84,1222,977717757,1
84,2858,977717867,1
84,1394,977717915,0
85,3826,979499987,1
85,2188,992325123,0
85,2706,992325123,0
85,2683,992325141,1
85,2699,992325141,1
85,2710,992325157,0
85,3005,992325184,1
85,2908,992325184,0
85,3949,992325450,0
85,3317,992325450,0
86,3118,978814020,0
86,2396,978814055,1
86,2454,978814106,1
86,260,978814205,1
86,1088,978814254,1
86,236,980805500,1
86,920,980805528,1
86,3005,983319800,1
86,3147,983319953,1
86,54,983319953,1
87,3062,977694817,0
87,2347,977694817,0
87,3624,977694817,0
87,3633,977694817,0
87,3639,977694817,1
87,2000,977694817,1
87,2948,977694817,0
87,480,977694817,1
87,1610,977768358,1
87,1215,977768358,0
88,1956,977696617,1
88,1079,977696617,0
88,1300,977696617,1
88,1172,977696617,1
88,3210,977696618,1
88,3072,977696618,1
88,3361,977696618,1
88,1961,977696618,1
88,2915,977696618,1
88,2973,977696618,0
89,1704,993955777,1
89,527,993955959,1
89,2791,993955973,0
89,2792,993955973,0
89,3265,993956322,1
89,1218,993956335,1
89,3868,993956351,0
89,3869,993956351,0
89,370,993956351,0
89,3740,993963368,0
90,3948,993954774,1
90,3623,993954774,0
90,3755,993954797,0
90,3798,993954849,1
90,3863,993954885,1
90,3879,993954885,0
90,3752,993954885,0
90,3826,993954957,0
90,3821,993955015,0
90,1429,993965451,1
91,3060,977666548,1
91,2599,977666548,1
91,2791,977666548,1
91,497,977666548,1
91,1278,977666573,1
91,969,977666642,1
91,898,977666642,1
91,1265,977666675,1
91,912,977666675,1
91,920,977666675,1
92,1801,986711507,0
92,3257,986711645,1
92,360,986711645,0
92,70,986711645,0
92,886,986711712,1
92,1479,986711780,0
92,1590,986711780,0
92,1831,986711780,0
92,1882,986711826,0
92,1556,986711877,0
93,2422,977633309,0
93,2643,977633309,0
93,1681,977633333,0
93,2153,977633367,0
93,1556,977633367,0
93,2818,977633367,0
93,502,977633367,0
93,839,977633397,0
93,2807,977633397,0
93,3911,977633588,0
94,1994,977628669,0
94,1130,977628669,1
94,3917,977628669,1
94,2118,977628669,1
94,1321,977628700,0
94,1261,977628700,1
94,3018,977628700,1
94,1349,977628700,0
94,2003,977628700,1
94,3837,977628700,0
95,3246,977629162,1
95,1095,977629162,0
95,529,977629230,1
95,337,977629290,0
95,1393,977629372,0
95,446,977629372,1
95,1249,977629421,1
95,2762,977629421,0
95,3147,977629537,1
95,1921,977629537,0
96,553,980564375,0
96,1408,980564394,0
96,3751,980564467,0
96,3578,980564486,0
96,3408,980564548,1
96,3753,980564549,1
96,3916,980564549,1
96,3623,980564724,0
96,3513,980564760,1
96,1073,980565244,1
97,1945,977622758,1
97,3871,977622792,1
97,3035,977622792,1
97,2186,977622792,1
97,971,977622792,1
97,3341,977622792,1
97,3365,977622792,1
97,1103,977622792,1
97,898,999717140,1
97,3334,999717170,1
98,2791,977619432,1
98,2657,977619456,0
98,1129,977619477,1
98,648,977619500,1
98,2241,977619554,0
98,3821,977619640,1
98,593,977619797,0
98,527,977619797,1
98,318,977619823,1
98,296,977619823,1
99,1234,994353904,1
99,1097,994353904,0
99,1012,994353946,0
99,1073,994353967,0
99,1584,994353978,0
99,3317,994354176,1
99,3948,994354259,0
99,1968,994354299,1
99,2144,994354345,1
99,2762,994354345,0
100,1499,977594731,0
100,593,977594809,1
100,318,977594839,1
100,527,977594839,1
100,924,977594873,1
100,608,977594932,0
100,1213,977594932,1
100,919,977594947,1
100,265,977594963,0
100,1208,977594963,0
101,376,977579014,1
101,1320,977579058,0
101,292,977579058,1
101,2616,977579081,1
101,1544,977579137,1
101,360,977579171,1
101,2642,977579192,1
101,2412,977579214,1
101,208,977579253,1
101,3841,977579274,1
102,3713,1040737645,1
102,922,1043798881,1
102,926,1043798881,1
102,3099,1043798912,1
102,2212,1043798952,1
102,203,1043799114,1
102,2011,1043799114,1
102,2012,1043799136,0
102,2040,1043799154,1
102,2877,1043799175,0
103,160,977555834,0
103,2808,977555835,1
103,3841,977555835,0
103,1499,977555861,0
103,2253,977555887,0
103,15,977555887,1
103,172,977555914,1
103,2153,977555948,1
103,546,977555948,0
103,1556,977555973,0
104,3005,1016055710,0
104,3298,1016055710,0
104,2771,1016055710,0
104,2976,1016055710,0
104,2038,1016055720,0
104,3786,1016055720,0
104,2285,1016055748,0
104,998,1016055752,0
104,2600,1016055781,1
104,2490,1016055781,1
105,3256,977544322,1
105,3527,977544322,1
105,3555,977544322,0
105,2006,977544322,1
105,2872,977544322,1
105,861,977544363,0
105,3153,977544363,1
105,163,977544363,1
105,3639,977544363,1
105,2115,977544363,1
106,1265,977536307,1
106,914,977536307,1
106,1059,977536307,0
106,1210,977536307,1
106,1183,977536330,0
106,440,977536330,1
106,2065,977536364,1
106,1357,977536364,0
106,377,977536364,0
106,3699,977536364,0
107,2181,977534739,0
107,3361,977534739,1
107,3703,977534739,1
107,2949,977534739,1
107,3093,977534779,0
107,1674,977534779,0
107,1925,977534779,1
107,2852,977534779,0
107,2863,977534779,0
107,1147,977534779,1
108,2792,977527581,0
108,1976,977527611,0
108,1977,977527611,0
108,3911,977527658,1
108,3913,977527658,0
108,3948,977527693,1
108,1449,977527857,1
108,3938,977528001,1
108,3925,977528015,0
108,3927,977528015,0
109,1269,977527719,1
109,903,977527719,1
109,924,977527719,1
109,1018,977527763,0
109,594,977528217,1
109,2135,977528249,1
109,2080,977528260,1
109,1035,977528275,1
109,3675,977528275,1
109,1028,977528296,1
110,3917,977515025,0
110,804,977515048,0
110,3484,977515048,0
110,1544,977515065,0
110,3918,977515086,0
110,3930,977515255,0
110,1673,977515330,1
110,3623,977515387,0
110,3316,977515406,0
110,3452,977515406,0
111,3252,977512884,1
111,1542,977512930,1
111,1711,977512953,0
111,1641,977512953,1
111,477,977512953,1
111,16,977512984,0
111,1643,977512995,1
111,1042,977513092,1
111,500,977513112,1
111,367,977513112,1
112,942,977508683,1
112,1069,977508683,1
112,3683,977508683,1
112,541,977508683,1
112,1179,977508731,1
112,1344,977508731,1
112,3334,977508731,1
112,2940,977508731,1
112,2182,977508756,0
112,3706,977508756,0
113,3916,977507053,1
113,3646,977507084,0
113,3623,977507123,1
113,3452,977507175,0
113,3409,977507207,1
113,3821,977507219,0
113,3285,977507282,1
113,3238,977507311,1
113,3883,977507339,0
113,3895,977507389,1
114,3471,980373509,1
114,1206,980373509,0
114,594,980373930,1
114,1288,980373930,1
114,900,980373930,1
114,914,980373930,1
114,899,980373930,1
114,1947,980373930,1
114,73,980373930,1
114,3095,980374273,1
115,2792,977501965,1
115,3409,977501976,0
115,70,977501976,1
115,1544,977501986,1
115,3918,977501986,0
115,2135,977502004,0
115,1976,977502004,0
115,240,977502018,0
115,1977,977502018,0
115,611,977502018,1
116,1370,997448114,0
116,3253,997448129,0
116,2340,997448150,1
116,3254,997448194,0
116,165,997448194,0
116,3918,997448756,1
116,157,997448776,1
116,1388,997448790,1
116,2421,997448812,0
116,2422,997448812,0
117,2951,977508202,0
117,553,977508263,0
117,2527,977508285,0
117,3873,977508286,0
117,996,977508855,0
117,2478,977508855,0
117,3806,977508855,1
117,2193,977509686,1
117,2019,977510051,1
117,3785,978643873,0
118,1961,977502872,0
118,3683,977502872,0
118,1090,977502872,0
118,3098,977502892,1
118,2194,977502908,0
118,1674,977502908,0
118,3424,977502929,0
118,2917,977502929,1
118,1246,977502929,0
118,1957,977502946,0
119,241,977514038,0
119,2478,977597558,1
119,2468,977597614,1
119,2354,977597656,1
119,333,977597755,0
119,2628,977597820,0
119,8,977597842,0
119,2995,977894688,0
119,1278,977894763,0
119,2719,978216413,1
120,994,978149826,1
120,2915,978149826,0
120,1036,978149826,0
120,457,978149826,0
120,1214,978149826,0
120,1222,978149826,0
120,2028,978149826,0
120,3006,978149909,0
120,2664,978149909,0
120,1208,978149909,1
121,1676,977459163,1
121,2105,977459163,1
121,3934,977459200,1
121,674,977459200,1
121,1372,977459200,1
121,2528,977459200,1
121,329,977459200,1
121,1,977459322,1
121,594,977459322,1
121,3751,977459322,1
122,1580,993446207,0
122,2571,993446207,0
122,2094,993446239,0
122,2402,993446239,0
122,2409,993446239,0
122,2273,993446275,0
122,112,993446275,0
122,2700,993446275,0
122,377,993446275,0
122,1240,993446303,0
123,544,979400002,0
123,3274,979400134,0
123,3052,979678426,0
123,2995,979678497,0
123,3238,979678497,0
123,2343,979678538,0
123,1661,979678567,1
123,2600,979678594,0
123,3051,979678625,1
123,1352,979678654,1
124,1693,983726903,1
124,678,983726928,1
124,531,983726954,1
124,2912,983726975,1
124,1213,983727032,1
124,1094,983727053,1
124,1179,983727088,1
124,34,983727088,1
124,3125,983727107,1
124,3298,983727215,1
125,2000,977445833,1
125,1201,977445833,1
125,2951,977445833,1
125,474,977445833,1
125,592,977445882,0
125,2427,977445882,1
125,3702,977445882,1
125,3763,977445882,0
125,555,977445882,0
125,3948,977519467,1
126,1296,977445267,0
126,2248,977445267,1
126,1307,977445267,0
126,969,977445285,1
126,1059,977445285,1
126,461,977445285,0
126,911,977445306,1
126,915,977445331,1
126,342,977445331,1
126,2943,977445355,1
127,3551,1006029441,1
127,1219,1006029441,1
127,3756,1007224983,0
127,830,1010786728,0
127,2346,1010786741,1
127,1252,1023070528,1
127,111,1023070542,0
127,1674,1023070563,1
127,1214,1023070563,1
127,2871,1023070576,0
128,1249,977434389,1
128,1282,977434389,1
128,2160,977434389,1
128,2858,977434389,1
128,2791,977434389,1
128,3751,977434417,1
128,2135,977434472,1
128,3159,977434472,1
128,480,977434472,1
128,2657,977434498,1
129,1615,977436314,1
129,2470,977436314,1
129,610,977436314,1
129,3755,977436359,1
129,2641,977436423,0
129,303,977436423,1
129,3698,977436445,1
129,2013,977436469,1
129,736,977436487,1
129,674,977436556,0
130,2393,977432283,1
130,3197,977432283,1
130,10,977432283,1
